Rank,Ticker,Company,Industry,Market Cap ($M)
1,AAPL,Apple,Consumer Electronics," $            2,236,010"
2,MSFT,Microsoft,Software – Infrastructure," $            1,838,040"
3,AMZN,Amazon.com,Internet Retail," $            1,646,130"
4,GOOG,Alphabet,Internet Content & Information," $            1,427,450"
5,GOOGL,Alphabet,Internet Content & Information," $            1,426,070"
6,FB,Facebook,Internet Content & Information," $               780,175"
7,TSLA,Tesla,Auto Manufacturers," $               764,254"
8,BRK.B,Berkshire Hathaway,Insurance – Diversified," $               574,935"
9,V,Visa,Credit Services," $               458,388"
10,JPM,JPMorgan Chase,Banks – Diversified," $               441,095"
11,JNJ,Johnson & Johnson,Drug Manufacturers – General," $               434,553"
12,WMT,Walmart,Discount Stores," $               412,113"
13,NVDA,NVIDIA,Semiconductors," $               379,576"
14,PYPL,PayPal Holdings,Credit Services," $               356,962"
15,MA,Mastercard,Credit Services," $               338,945"
16,DIS,Walt Disney,Entertainment," $               338,274"
17,PG,Procter & Gamble,Household & Personal Products," $               315,000"
18,UNH,UnitedHealth Group,Healthcare Plans," $               308,005"
19,HD,Home Depot,Home Improvement Retail," $               296,485"
20,BAC,Bank of America,Banks – Diversified," $               296,463"
21,INTC,Intel,Semiconductors," $               255,354"
22,NFLX,Netflix,Entertainment," $               246,817"
23,CMCSA,Comcast,Entertainment," $               241,760"
24,ADBE,Adobe,Software – Infrastructure," $               240,134"
25,CRM,Salesforce.com,Software – Application," $               228,139"
26,ABT,Abbott Laboratories,Medical Devices," $               226,897"
27,VZ,Verizon Communications,Telecom Services," $               224,072"
28,NKE,Nike,Footwear & Accessories," $               223,404"
29,XOM,Exxon Mobil,Oil & Gas Integrated," $               220,285"
30,KO,Coca-Cola,Beverages – Non-Alcoholic," $               216,031"
31,T,AT&T,Telecom Services," $               206,439"
32,AVGO,Broadcom,Semiconductors," $               198,935"
33,TMO,Thermo Fisher Scientific,Diagnostics & Research," $               198,198"
34,LLY,Eli Lilly,Drug Manufacturers – General," $               196,825"
35,CSCO,Cisco Systems,Communication Equipment," $               196,528"
36,PFE,Pfizer,Drug Manufacturers – General," $               192,820"
37,MRK,Merck & Co,Drug Manufacturers – General," $               187,854"
38,PEP,PepsiCo,Beverages – Non-Alcoholic," $               185,392"
39,ABBV,AbbVie,Drug Manufacturers – General," $               183,962"
40,ORCL,Oracle,Software – Infrastructure," $               182,942"
41,CVX,Chevron,Oil & Gas Integrated," $               181,810"
42,DHR,Danaher,Diagnostics & Research," $               172,253"
43,ACN,Accenture,Information Technology Services," $               170,311"
44,QCOM,Qualcomm,Semiconductors," $               167,173"
45,TXN,Texas Instruments,Semiconductors," $               166,182"
46,MDT,Medtronic,Medical Devices," $               161,091"
47,MCD,McDonald’s,Restaurants," $               160,221"
48,NEE,NextEra Energy,Utilities – Regulated Electric," $               159,122"
49,COST,Costco Wholesale,Discount Stores," $               157,115"
50,TMUS,T-Mobile US,Telecom Services," $               151,424"
51,WFC,Wells Fargo,Banks – Diversified," $               144,626"
52,UNP,Union Pacific,Railroads," $               143,336"
53,HON,Honeywell International,Specialty Industrial Machinery," $               141,493"
54,UPS,United Parcel Service,Integrated Freight & Logistics," $               139,913"
55,MS,Morgan Stanley,Capital Markets," $               137,589"
56,AMGN,Amgen,Drug Manufacturers – General," $               134,480"
57,PM,Philip Morris Intl,Tobacco," $               133,940"
58,C,Citigroup,Banks – Diversified," $               133,504"
59,BMY,Bristol-Myers Squibb,Drug Manufacturers – General," $               133,084"
60,LIN,Linde,Specialty Chemicals," $               131,287"
