,label
A,0
AAL,4
AAP,4
AAPL,0
ABBV,0
ABC,4
ABMD,0
ABT,7
ACN,0
ADBE,0
ADI,0
ADM,4
ADP,0
ADSK,0
AEE,3
AEP,3
AES,5
AFL,7
AIG,4
AIZ,3
AJG,7
AKAM,4
ALB,0
ALGN,0
ALK,4
ALL,7
AMAT,0
AMCR,0
AMD,0
AME,7
AMGN,3
AMP,7
AMT,0
AMZN,0
ANET,1
ANSS,0
ANTM,0
AON,3
AOS,3
APA,2
APD,3
APH,7
APTV,7
ARE,0
ATO,3
ATVI,0
AVB,3
AVGO,3
AVY,0
AWK,3
AXP,5
AZO,4
BA,0
BAC,7
BAX,0
BBY,0
BDX,3
BEN,6
BIIB,4
BIO,0
BK,7
BKNG,7
BKR,6
BLK,7
BLL,3
BMY,4
BR,0
BSX,3
BWA,5
BXP,4
C,7
CAG,3
CAH,4
CAT,0
CB,3
CBRE,7
CCI,3
CCL,0
CDNS,0
CDW,0
CE,0
CERN,4
CF,6
CFG,1
CHD,3
CHRW,0
CHTR,3
CI,3
CINF,3
CL,4
CLX,3
CMA,0
CMCSA,3
CME,0
CMG,6
CMI,7
CMS,3
CNC,0
CNP,7
COF,7
COG,6
COO,7
COP,5
COST,3
CPB,4
CPRT,0
CRM,0
CSCO,0
CSX,0
CTAS,0
CTLT,1
CTSH,7
CTXS,0
CVS,4
CVX,5
D,3
DAL,3
DD,7
DE,0
DFS,7
DG,3
DGX,0
DHI,0
DHR,0
DIS,4
DISCA,2
DISCK,2
DISH,6
DLR,0
DLTR,3
DOV,7
DPZ,0
DRE,3
DRI,0
DTE,3
DUK,3
DVA,4
DVN,2
DXC,0
DXCM,4
EA,0
EBAY,7
ECL,7
ED,3
EFX,3
EIX,3
EL,0
EMN,7
EMR,5
ENPH,2
EOG,5
EQIX,3
EQR,3
ES,3
ESS,3
ETN,7
ETR,3
ETSY,1
EVRG,3
EW,0
EXC,0
EXPD,0
EXPE,3
EXR,3
F,6
FANG,0
FAST,0
FB,0
FBHS,3
FCX,2
FDX,7
FE,1
FFIV,0
FIS,3
FISV,3
FITB,7
FLS,6
FLT,7
FMC,5
FRC,3
FRT,4
FTNT,0
FTV,1
GD,3
GE,6
GILD,4
GIS,4
GL,7
GLW,7
GM,7
GOOG,0
GOOGL,0
GPC,4
GPN,0
GPS,6
GRMN,7
GS,7
GWW,5
HAL,5
HAS,3
HBAN,7
HBI,4
HCA,3
HD,3
HES,2
HFC,1
HIG,3
HII,3
HLT,1
HOLX,3
HON,3
HPE,1
HPQ,7
HRL,3
HSIC,4
HST,5
HSY,3
HUM,0
HWM,6
IBM,2
ICE,3
IDXX,0
IEX,0
IFF,3
ILMN,7
INCY,4
INFO,1
INTC,0
INTU,0
IP,7
IPG,4
IPGP,0
IQV,0
IR,1
IRM,3
ISRG,0
IT,3
ITW,3
IVZ,6
J,5
JBHT,7
JCI,4
JKHY,0
JNJ,3
JNPR,3
JPM,0
K,4
KEY,7
KEYS,1
KHC,6
KIM,4
KLAC,0
KMB,4
KMI,2
KMX,7
KO,3
KR,4
KSU,5
L,5
LDOS,0
LEG,4
LEN,7
LH,0
LHX,0
LIN,7
LKQ,7
LLY,3
LMT,3
LNC,7
LNT,3
LOW,3
LRCX,0
LUMN,2
LUV,3
LVS,5
LW,1
LYB,7
LYV,7
MA,0
MAA,3
MAR,0
MAS,3
MCD,0
MCHP,0
MCK,6
MCO,7
MDLZ,4
MDT,3
MET,7
MGM,7
MHK,3
MKC,3
MKTX,3
MLM,3
MMC,3
MMM,3
MNST,3
MO,3
MOS,2
MPC,7
MPWR,0
MRK,3
MRO,2
MS,7
MSCI,0
MSFT,0
MSI,0
MTB,7
MTD,0
MU,7
MXIM,0
NCLH,0
NDAQ,3
NEE,3
NEM,1
NFLX,0
NI,3
NKE,3
NLOK,3
NLSN,4
NOC,3
NOV,2
NOW,0
NRG,5
NSC,7
NTAP,1
NTRS,7
NUE,7
NVDA,0
NVR,0
NWL,4
NWS,2
NWSA,2
O,3
ODFL,0
OKE,5
OMC,4
ORCL,7
ORLY,4
OXY,2
PAYC,1
PAYX,3
PBCT,3
PCAR,7
PEAK,6
PEG,3
PEP,3
PFE,3
PFG,7
PG,3
PGR,0
PH,7
PHM,7
PKG,7
PKI,7
PLD,0
PM,3
PNC,0
PNR,5
PNW,3
POOL,0
PPG,4
PPL,3
PRGO,6
PRU,7
PSA,4
PSX,0
PVH,5
PWR,5
PXD,5
PYPL,1
QCOM,5
QRVO,1
RCL,3
RE,3
REG,4
REGN,4
RF,7
RHI,7
RJF,7
RL,2
RMD,0
ROK,7
ROL,0
ROP,0
ROST,0
RSG,0
RTX,7
SBAC,7
SBUX,3
SCHW,7
SEE,4
SHW,3
SIVB,0
SJM,4
SLB,6
SLG,4
SNA,4
SNPS,0
SO,3
SPG,4
SPGI,0
SRE,3
STE,3
STT,7
STX,5
STZ,3
SWK,3
SWKS,3
SYF,1
SYK,0
SYY,0
T,3
TAP,4
TDG,3
TDY,0
TEL,7
TER,0
TFC,7
TFX,0
TGT,4
TJX,3
TMO,7
TMUS,3
TPR,1
TRMB,5
TROW,7
TRV,3
TSCO,4
TSLA,7
TSN,3
TT,7
TTWO,0
TWTR,2
TXN,0
TXT,7
TYL,3
UA,6
UAA,4
UAL,3
UDR,3
UHS,4
ULTA,3
UNH,0
UNM,7
UNP,7
UPS,3
URI,7
USB,7
V,0
VFC,7
VIAC,5
VLO,0
VMC,3
VNO,4
VRSK,0
VRSN,0
VRTX,7
VTR,6
VTRS,6
VZ,3
WAB,4
WAT,0
WBA,4
WDC,5
WEC,3
WELL,4
WFC,7
WHR,4
WLTW,7
WM,0
WMB,6
WMT,7
WRB,3
WRK,1
WST,3
WU,3
WY,7
WYNN,5
XEL,3
XLNX,0
XOM,5
XRAY,4
XRX,5
XYL,0
YUM,0
ZBH,4
ZBRA,7
ZION,7
ZTS,0
