symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url
A,95051,Healthcare,16400,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],http://www.agilent.com,1,5301 Stevens Creek Boulevard,Diagnostics & Research,0.28688,0.16118999,0.53647,1420999936,0.258,0.23592,1762000000,158,buy,2837000000,1179250048,170,150.22,0.344,2.107,0.0904,17,173.35,57.784,0.19945998,195,1428000000,2857999872,6142000128,4.713,USD,20.072,1.479,2,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_154924,7fc56270-e7a7-3fa8-9a59-35b72eacbe29,us_market,,8.647,,30.143,,,4.36,,304697984,,,,15.756,3890515,0.0128,,1604102400,0.90196997,990000000,2.597,,,9.534146,0.00265,1667174400,,1627689600,2.23,1626307200,302060700,0.993006,53112709120,2,,1414972800,1398:1000,,,,0.327,7.452252,1628812800,0.77,,34.45413,,0.0129,2571122,,,,147.95,149.08,148.86594,0.004961136,0.2374,,150.88,,1410057,147.95,167.8547,0.734,149.08,,1410057,,,0.78,1625184000,,,148.74,USD,57.84367,1332995,,,,45771730944,,,1626518,148.74,151,1200,1332995,179.57,,0.81,100.65,150.51,FALSE,0.0045,1000,150.88,150.22,https://logo.clearbit.com/agilent.com
AAL,76155,Industrials,117400,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,817 963 1234,TX,United States,[],http://www.aa.com,1,1 Skyview Drive,Airlines,-0.40993,-0.31082,-0.2489,-1823000064,3.61,-0.52783,-7660000256,5,hold,-5536000000,-2783249920,21,19.61,,1.052,-0.08998,18,19.86,,,28,17949999104,48297000960,18685999104,27.724,USD,31.674,0.892,3.1,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_168569,b73d98bf-8d5e-382f-9d49-b84d8f52f152,us_market,,2.295,,-5.599,,,-0.07,,641382976,,,,-12.387,90551765,0.1399,,1609372800,0.54548,-5808000000,-14.725,,,,0.009980001,1672444800,,1625011200,2.56,1626307200,642381762,1.77893,42888257536,2,,1386547200,0:01,,,,,0.6730986,1628812800,0.02,,-280.14285,,0.15689999,91490076,,,,20.29,20.25,21.443043,0,0,,20.25,,26001328,20.29,20.201765,0,20.25,,26001328,,,,1580774400,,,19.532,USD,,32891909,,,,12577520640,,,31811378,19.532,19.62,27000,32891909,26.09,,,10.63,19.61,FALSE,,27000,20.25,19.61,https://logo.clearbit.com/aa.com
AAP,27604,Consumer Cyclical,40000,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,Specialty Retail,0.11545999,0.059169997,0.44679,1288711936,0.234,0.09229,1239875968,138,buy,4484775000,974514368,243.5,210.32,3.46,1.317,0.05175,16,233.19,99.793,0.18054001,256,880233024,3494320128,10738808832,13.563,USD,158.215,0.352,2.2,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_24333,e77e78f9-7896-3fa1-acee-885058f2c91a,us_market,,1.499,,12.984,,,12.17,,65438900,,,,53.954,3760667,0.0575,,1609545600,0.99179,635363008,9.309,,,3.8981357,0.00421,1672617600,,1619222400,7.31,1626307200,64648360,1.371705,16098774016,2,,1127692800,3:02,,,,3.266,1.2816235,1628812800,1.23,,17.281841,,0.0647,3441200,,,,212.01,212.26,202.43884,0.004716759,0.1073,,213.24,,450714,212.01,207.34912,1,212.26,,450714,,,4,1631750400,,,205.5,USD,22.59319,902687,,,,13763109888,,,569664,205.5,210.76,1000,902687,220.12,,0.28,142.59,210.55,FALSE,0.019299999,900,213.24,210.32,https://logo.clearbit.com/advanceautoparts.com
AAPL,95014,Technology,147000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.31955,0.25004,0.41005,1.04E+11,0.364,0.28788,1.11E+11,132,buy,1.05E+11,80625876992,169.64,140.91,1,1.062,0.19302,42,167.92,210.782,1.27125,190,61696000000,1.35E+11,3.47E+11,3.732,USD,20.61,0.887,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_24937,,us_market,,6.951,,21.751,0.17231381,,5.68,,16530199552,,,,3.882,101107412,0.0061,,1601078400,0.5869,86801997824,5.108,0.22,0.24898803,36.2983,0.00073,1664150400,,1624665600,1.18,1630368000,16512974627,1.222222,2.41E+12,2,,1598832000,4:01,,1628208000,,0.932,6.709598,1632960000,1.38,,24.8081,,0.0061,96838699,,,,141.51,141.235,138.28957,0.005900643,0.16309999,,141.4,,74334814,141.51,147.03795,0.835,141.235,,74334814,,,0.88,1628208000,,,139.2,USD,27.586142,74732031,,,,2.33E+12,,,79142887,139.2,141.25,1400,74732031,157.26,,1.24,107.32,141.05,FALSE,0.0062,1100,141.4,140.91,https://logo.clearbit.com/apple.com
ABBV,60064-6400,Healthcare,48000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.51499003,0.12401,0.68121004,20451000320,0.339,0.35173,27669999616,105,buy,31747000000,18179999744,129.5,108.53,,0.906,0.0794,22,127.01,652.342,0.48855,144,8600000512,82156003328,53729001472,4.867,USD,30.364,0.645,2,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_141885706,,us_market,,4.94,,9.593,0.27384722,,13.97,,1767180032,,,,7.113,13666689,0.0077,,1609372800,0.68694,6597000192,3.708,1.3,0.24898803,15.257978,0.00123,1672444800,,1625011200,1.43,1630368000,1744096220,0.826984,2.65E+11,2,,,,,1626220800,,,3.5696187,1632960000,1.9,,7.7687902,,0.0077,13549109,,,,108.57,108.59,113.09877,0.04679009,1.3405,,109.035,,6631014,108.57,110.36147,5.08,108.59,,6631014,,,5.2,1634169600,,,108,USD,29.269148,5473098,,,,1.92E+11,,,7142507,108,108.53,800,5473098,121.53,,4.26,79.11,108.56,FALSE,0.0479,1000,109.035,108.53,https://logo.clearbit.com/abbvie.com
ABC,19428-1800,Healthcare,41000,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],http://www.amerisourcebergen.com,1,1 West First Avenue,Medical Distribution,0.015470001,-0.01832,0.0304,2956001024,0.177,0.01334,3160153088,125,buy,5188229000,2430685184,141,118.84,-0.007,0.941,0.03522,13,140.85,2054.661,-1.7075,162,2553217024,8392078848,2.04E+11,12.288,USD,996.876,0.518,2.3,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EDT,TRUE,-14400000,,EQUITY,,,finmb_24809,902fbdd2-b1df-3c4f-b0b4-a5d23525e932,us_market,,0.158,,10.237,,,10.57,,207411008,,,,-1.372,1603737,0.0077,,1601424000,0.65993,-3743837952,-18.344,,,,0.28538,1664496000,,1625011200,1.87,1627603200,148432726,0.538755,32348960768,2,,1245110400,2:01,,,,0.009,0.120637126,1630368000,1.1,,11.243141,,0.0107,2065502,,,,119.73,119.02,119.13942,0.014365656,,,119.17,,913928,119.73,121.602356,1.72,119.02,,913928,,,1.76,1628812800,,,115.96,USD,,983319,,,,24648722432,,,824700,115.96,118.48,1000,983319,128.87,,1.73,92.24,117.37,FALSE,0.014,1300,119.17,118.84,https://logo.clearbit.com/amerisourcebergen.com
ABMD,1923,Healthcare,1725,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.30991,0.16510001,0.81704,298177984,0.532,0.28342,289846016,269,buy,685615000,180856000,415,336.05,,6.452,0.12236,6,387.33,0.433,0.12818,425,523031008,5658000,935257024,11.526,USD,20.685,5.407,2.4,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_247589,a393224e-40ae-3cd2-a2c8-12a0912a9351,us_market,,16.799,,54.206,,,5.23,,45296000,,,,29.371,777624,0.0171,,1617148800,0.93431,154412000,4.94,,,11.441558,0.02049,1680220800,,1625011200,4.27,1626307200,44453569,1.302313,15711506432,2,,970444800,2:01,,,,,16.55319,1628812800,8.42,,64.2543,,0.0196,769547,,,,334.14,335.72,323.13608,,0,,339.225,,193771,334.14,349.26852,,335.72,,193771,,,,,,,334.35,USD,68.02631,104787,,,,15481487360,,,185596,334.35,336.33,1400,104787,387.4,,,242.73,313.98,FALSE,,1000,339.225,336.05,https://logo.clearbit.com/abiomed.com
ABT,60064-6400,Healthcare,109000,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.28964,0.15847999,0.57028,10629000192,0.395,0.20309,11653000192,109,buy,19611000000,7580125184,134.5,117,1.2,1.794,0.07191,22,132.28,54.368,0.19658001,158,8944000000,18500999168,40233000960,5.045,USD,22.647,1.194,1.9,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_247483,,us_market,,5.413,,18.688,0.093179226,,4.66,,1772819968,,,,19.066,11216661,0.0063,,1609372800,0.7529,6343000064,3.55,0.45,0.24898803,6.136578,0.00728,1672444800,,1625011200,2.41,1630368000,1759361665,0.671428,2.18E+11,2,,1357084800,10000:4798,,1626220800,,1.214,5.1554675,1632960000,2.3,,25.107298,,0.0065,10221589,,,,117.32,117.5,119.59094,0.014575521,0.45630002,,118.23,,5116028,117.32,123.48235,1.71,117.5,,5116028,,,1.8,1634169600,,,116.44,USD,32.95775,3685742,,,,2.07E+11,,,4611525,116.44,117.08,1100,3685742,129.7,,1.69,103.13,117,FALSE,0.0153,1000,118.23,117,https://logo.clearbit.com/abbott.com
ACN,2,Technology,624000,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utility sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. It has an agreement with Duke Energy Corporation for the development of a technology platform designed to measure actual baseline methane emissions from natural gas distribution systems. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.18825,0.11689,0.32383,8975148032,0.238,0.15082,9512770560,,none,16364128000,8180318208,,330.18,0.104,1.252,0.118710004,,,17.448,0.31868,,8172468224,3506633984,50533388288,12.911,USD,79.612,1.14,,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_972190,,us_market,,4.055,,21.54,0.4323994,,9.74,,632572032,,,,30.85,3333990,0.0053,,1630368000,0.72745,5906808832,9.155,0.88,0.24898803,10.702755,0.0012,1693440000,,1630368000,1.58,1630368000,632183430,1.118518,2.05E+11,2,,,,,1626220800,,0.1,4.133161,1632960000,3.15,,33.899384,,0.0053,4206466,661662016,,,326.72,328.25,306.46783,0.011049216,0.3843,,331.55,,1645485,326.72,333.76352,3.61,328.25,,1645485,,,3.88,1634083200,,,325.855,USD,36.065536,1621809,,,,2.09E+11,,,1786150,325.855,330.01,1100,1621809,345.52,,1.57,212.45,330.23,FALSE,0.0118,900,331.55,330.18,https://logo.clearbit.com/accenture.com
ADBE,95110-2704,Technology,22516,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.4042,0.38671002,0.88171,6945999872,0.22,0.36532003,6103000064,560,buy,11146000000,5574499840,706,591.12,0.279,1.392,0.142,26,703.92,32.503,0.44697,800,6163999744,4685000192,15098999808,12.955,USD,31.563,1.245,1.8,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,FALSE,-14400000,,EQUITY,,,finmb_24321,,us_market,,18.201,,45.029,0.15871501,,14.24,,475800000,,,,30.282,4396178,0.0092,,1606435200,0.8539,5839000064,12.096,0.0065,0.24898803,19.520508,0.0031,1669507200,,1630627200,1.81,1630368000,474382116,1.0291,2.75E+11,2,,1116892800,2:01,,1111622400,,0.269,18.627386,1632960000,2.96,,41.51124,,0.0093,4702456,,,,580.69,585.26,570.64777,,0,,593.4,,2315428,580.69,626.3465,,585.26,,2315428,,,,1111622400,,,582.655,USD,48.86905,2144405,,,,2.81E+11,,,1878800,582.655,592.5,900,2144405,673.88,,,420.78,592.5,FALSE,,2200,593.4,591.12,https://logo.clearbit.com/adobe.com
